timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-49-54-897,1761992394.8970866,images/image_2025-11-01_15-49-54-897_0001.jpg,0.0684,0.0432,1.0046,-3.336,0.382,0.382,101954.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-55-505,1761992395.5056996,images/image_2025-11-01_15-49-55-505_0002.jpg,0.0693,0.0471,1.0056,-3.221,-0.061,0.29,101955.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-55-988,1761992395.9884393,images/image_2025-11-01_15-49-55-988_0003.jpg,0.0686,0.0425,1.0051,-3.183,0.695,0.359,101955.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-56-463,1761992396.463539,images/image_2025-11-01_15-49-56-463_0004.jpg,0.0735,0.0605,1.0071,-3.779,0.71,0.45,101956.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-57-005,1761992397.0061016,images/image_2025-11-01_15-49-57-005_0005.jpg,0.0696,0.0466,1.009,-3.282,0.565,0.786,101957.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-57-491,1761992397.4919367,images/image_2025-11-01_15-49-57-491_0006.jpg,0.0708,0.0417,1.0034,-3.405,0.863,0.473,101957.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-58-007,1761992398.0073373,images/image_2025-11-01_15-49-58-007_0007.jpg,0.0691,0.0427,1.0066,-3.305,1.092,0.328,101957.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-58-606,1761992398.6064425,images/image_2025-11-01_15-49-58-606_0008.jpg,0.0693,0.0466,1.0051,-3.145,0.939,0.504,101958.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-59-197,1761992399.1978846,images/image_2025-11-01_15-49-59-197_0009.jpg,0.0698,0.0442,1.0073,-3.389,0.855,0.603,101959.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-49-59-744,1761992399.7444015,images/image_2025-11-01_15-49-59-744_0010.jpg,0.0686,0.0432,1.0046,-3.198,0.656,0.489,101959.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-00-595,1761992400.5954192,images/image_2025-11-01_15-50-00-595_0011.jpg,0.0671,0.0422,1.0061,-3.13,0.725,0.687,102000.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-01-144,1761992401.144474,images/image_2025-11-01_15-50-01-144_0012.jpg,0.0696,0.0474,1.0076,-3.153,0.802,0.595,102001.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-01-900,1761992401.900479,images/image_2025-11-01_15-50-01-900_0013.jpg,0.0547,-0.1218,0.9429,-5.473,3.29,-16.153,102001.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-02-425,1761992402.4251769,images/image_2025-11-01_15-50-02-425_0014.jpg,0.1045,0.0842,0.9534,10.42,-26.924,20.069,102002.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-03-032,1761992403.0327783,images/image_2025-11-01_15-50-03-032_0015.jpg,0.2158,0.2388,0.7339,-21.519,-7.702,-31.573,102003.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-04-030,1761992404.0308046,images/image_2025-11-01_15-50-04-030_0016.jpg,0.0657,0.1863,0.9868,-21.901,-7.145,7.718,102003.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-04-483,1761992404.4839969,images/image_2025-11-01_15-50-04-483_0017.jpg,0.1028,0.0674,1.0342,-13.023,1.084,-8.122,102004.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-05-144,1761992405.1447756,images/image_2025-11-01_15-50-05-144_0018.jpg,0.0461,0.0012,1.1609,-23.267,2.397,-3.29,102005.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-05-714,1761992405.714671,images/image_2025-11-01_15-50-05-714_0019.jpg,0.0469,-0.0068,1.0266,-6.542,12.847,-0.26,102005.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-06-214,1761992406.2147098,images/image_2025-11-01_15-50-06-214_0020.jpg,0.0193,-0.0229,0.98,-2.557,-7.962,1.901,102006.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-06-663,1761992406.6633794,images/image_2025-11-01_15-50-06-663_0021.jpg,-0.0232,-0.0474,1.1221,17.183,5.13,-7.427,102006.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-07-142,1761992407.1425607,images/image_2025-11-01_15-50-07-142_0022.jpg,-0.071,0.0413,0.9756,13.725,3.511,-18.542,102007.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-07-641,1761992407.6414018,images/image_2025-11-01_15-50-07-641_0023.jpg,-0.0833,0.083,0.9998,5.511,5.763,-9.679,102007.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-08-053,1761992408.053435,images/image_2025-11-01_15-50-08-053_0024.jpg,-0.0981,0.2095,0.8655,4.565,-2.099,28.305,102008.00,N/A,N/A,N/A,N/A,N/A,N/A,V
