timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-09-19_19-39-30-279,1758290970.2791665,images/image_2025-09-19_19-39-30-279_0001.jpg,-0.1716,-0.481,0.8069,10.74,7.71,7.542,140933.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-30-532,1758290970.5323431,images/image_2025-09-19_19-39-30-532_0002.jpg,-0.1401,-0.4407,0.95,-10.695,-0.176,-9.626,140933.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-30-774,1758290970.7741437,images/image_2025-09-19_19-39-30-774_0003.jpg,-0.1663,-0.521,0.8801,2.359,-0.542,1.534,140933.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-31-015,1758290971.0153644,images/image_2025-09-19_19-39-31-015_0004.jpg,-0.1575,-0.5063,0.8945,-8.939,-1.443,-8.092,140934.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-31-256,1758290971.2563741,images/image_2025-09-19_19-39-31-256_0005.jpg,-0.1597,-0.4934,0.8176,9.397,-6.0,14.031,140934.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-31-497,1758290971.4975064,images/image_2025-09-19_19-39-31-497_0006.jpg,-0.1296,-0.4998,0.8411,-8.176,2.565,-9.321,140934.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-31-735,1758290971.7358596,images/image_2025-09-19_19-39-31-735_0007.jpg,-0.1548,-0.4734,0.9014,11.573,-7.702,-11.305,140934.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-31-977,1758290971.978048,images/image_2025-09-19_19-39-31-977_0008.jpg,-0.0791,-0.5754,0.8425,-7.351,7.359,-16.061,140934.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-32-215,1758290972.2154946,images/image_2025-09-19_19-39-32-215_0009.jpg,-0.1296,-0.4792,0.9275,-10.573,2.802,13.58,140935.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-09-19_19-39-32-452,1758290972.452657,images/image_2025-09-19_19-39-32-452_0010.jpg,-0.1404,-0.5381,0.8354,-8.641,4.947,12.573,140935.00,N/A,N/A,N/A,N/A,N/A,N/A,V
